출원번호¶특허분류일련번호¶ipc코드¶ipc개정일자
1020207016623¶1¶A61B 34/00¶(2016.01.01)
1020207016623¶2¶A61B 34/35¶(2016.01.01)
1020207016623¶3¶A61B 17/29¶(2006.01.01)
1020220169561¶1¶G16H 20/10¶(2018.01.01)
1020220169561¶2¶G16H 40/63¶(2018.01.01)
1020220169561¶3¶G16H 50/30¶(2018.01.01)
1020220169561¶4¶G06F 1/16¶(2006.01.01)
1020220169561¶5¶H04N 7/18¶(2023.01.01)
1020220169561¶6¶H04N 23/57¶(2023.01.01)
1020160119204¶1¶B82B 3/00¶(2017.01.01)
1020160119204¶2¶B82Y 15/00¶(2017.01.01)
1020080110005¶1¶A61B 5/021¶(2006.01.01)
1020150146390¶1¶G01S 19/34¶(2010.01.01)
1020150146390¶2¶G01S 19/39¶(2010.01.01)
1020150146390¶3¶G01C 21/20¶(2006.01.01)
1020140040358¶1¶H04W 4/02¶(2018.01.01)
1020140040358¶2¶H04W 4/14¶(2018.01.01)
1020140040358¶3¶H04W 4/80¶(2018.01.01)
1020140040358¶4¶H04M 15/00¶(2006.01.01)
1020140040358¶5¶H04W 4/24¶(2009.01.01)
1020140040358¶6¶H04M 15/00¶(2006.01.01)
1020140040358¶7¶H04W 76/25¶(2018.01.01)
1020140040358¶8¶H04W 64/00¶(2023.01.01)
1020187008897¶1¶A61M 1/36¶(2006.01.01)
1020187008897¶2¶A61M 1/36¶(2006.01.01)
1020187008897¶3¶A61M 60/857¶(2021.01.01)
1020187008897¶4¶A61M 60/216¶(2021.01.01)
1020187008897¶5¶A61M 60/31¶(2021.01.01)
1020187008897¶6¶A61M 60/818¶(2021.01.01)
1020187008897¶7¶A61M 60/37¶(2021.01.01)
1020187008897¶8¶A61M 60/538¶(2021.01.01)
1020187008897¶9¶A61M 60/152¶(2021.01.01)
1020187008897¶10¶A61M 60/422¶(2021.01.01)
1020187008897¶11¶A61M 60/148¶(2021.01.01)
1020187008897¶12¶A61M 1/14¶(2006.01.01)
1020187008897¶13¶A61M 25/01¶(2006.01.01)
1020187008897¶14¶A61B 90/00¶(2016.01.01)
1020187008897¶15¶A61B 17/11¶(2006.01.01)
1020157014957¶1¶H04N 19/157¶(2014.01.01)
1020157014957¶2¶H04N 19/136¶(2014.01.01)
1020157014957¶3¶H04N 19/176¶(2014.01.01)
1020157014957¶4¶H04N 19/60¶(2014.01.01)
1020227022151¶1¶B25J 18/04¶(2006.01.01)
1020227022151¶2¶H01L 21/677¶(2006.01.01)
1020227022151¶3¶B25J 11/00¶(2006.01.01)
1020137005748¶1¶A61B 17/32¶(2006.01.01)
1020137005748¶2¶A61B 17/32¶(2006.01.01)
1020137005748¶3¶A61B 17/3211¶(2006.01.01)
1020137005748¶4¶A61B 17/32¶(2006.01.01)
1020127022798¶1¶A61M 1/36¶(2006.01.01)
1020127022798¶2¶A61M 1/36¶(2006.01.01)
1020127022798¶3¶A61M 60/857¶(2021.01.01)
1020127022798¶4¶A61M 60/216¶(2021.01.01)
1020127022798¶5¶A61M 60/31¶(2021.01.01)
1020127022798¶6¶A61M 60/818¶(2021.01.01)
1020127022798¶7¶A61M 60/37¶(2021.01.01)
1020127022798¶8¶A61M 60/538¶(2021.01.01)
1020127022798¶9¶A61M 60/152¶(2021.01.01)
1020127022798¶10¶A61M 60/422¶(2021.01.01)
1020127022798¶11¶A61M 60/148¶(2021.01.01)
1020127022798¶12¶A61M 1/14¶(2006.01.01)
1020127022798¶13¶A61M 25/01¶(2006.01.01)
1020127022798¶14¶A61B 90/00¶(2016.01.01)
1020127022798¶15¶A61B 17/11¶(2006.01.01)
1020147006894¶1¶H01L 21/66¶(2006.01.01)
1020147006894¶2¶H01L 21/02¶(2006.01.01)
1020147006894¶3¶H01L 21/42¶(2006.01.01)
1020210110028¶1¶A61B 5/346¶(2021.01.01)
1020210110028¶2¶A61B 5/353¶(2021.01.01)
1020210110028¶3¶A61B 5/366¶(2021.01.01)
1020210110028¶4¶A61B 5/355¶(2021.01.01)
1020210110028¶5¶A61B 5/00¶(2021.01.01)
1020150008847¶1¶A61B 5/00¶(2021.01.01)
1020150008847¶4¶A61B 5/11¶(2006.01.01)
1020150008847¶5¶A61B 5/16¶(2006.01.01)
1020167035650¶1¶A61B 5/00¶(2021.01.01)
1020167035650¶2¶A61B 5/00¶(2021.01.01)
1020167035650¶3¶A61B 5/02¶(2006.01.01)
1020167035650¶4¶A61B 5/00¶(2021.01.01)
1020167035650¶5¶A61B 5/00¶(2021.01.01)
1020167035650¶6¶A61B 5/00¶(2021.01.01)
1020167035650¶7¶A61B 5/00¶(2021.01.01)
1020167035650¶8¶A61B 5/024¶(2006.01.01)
1020167035650¶9¶A61B 5/00¶(2021.01.01)
1020167035650¶10¶A61B 5/00¶(2021.01.01)
1020167035650¶11¶G16B 40/00¶(2019.01.01)
1020207002060¶1¶B25J 9/00¶(2006.01.01)
1020207002060¶2¶B25J 9/10¶(2006.01.01)
1020207002060¶3¶B25J 11/00¶(2006.01.01)
1020210105377¶1¶A44C 5/00¶(2006.01.01)
1020210105377¶2¶A61B 5/00¶(2021.01.01)
1020210105377¶3¶G08B 25/10¶(2006.01.01)
1020210105377¶4¶G08B 7/06¶(2006.01.01)
1020210105377¶5¶G08B 6/00¶(2014.01.01)
1020210105377¶6¶G08B 25/14¶(2006.01.01)
1020210105377¶7¶G06Q 50/10¶(2012.01.01)
2020190003225¶1¶A47G 29/10¶(2006.01.01)
2020190003225¶2¶A41D 20/00¶(2019.01.01)
1020110134350¶1¶B41M 5/50¶(2006.01.01)
1020150094124¶1¶H05B 45/00¶(2022.01.01)
1020150094124¶4¶F21S 10/02¶(2006.01.01)
1020150094124¶5¶F21V 23/04¶(2006.01.01)
1020150094124¶6¶F21K 9/61¶(2016.01.01)
1020150094124¶7¶F21K 9/64¶(2016.01.01)
1020140080374¶1¶A01M 29/12¶(2011.01.01)
1020140080374¶2¶A44C 5/00¶(2006.01.01)
1020180014052¶1¶A41D 13/005¶(2006.01.01)
1020180014052¶2¶A41D 20/00¶(2019.01.01)
1020180014052¶3¶F25B 21/02¶(2022.01.01)
1020180014052¶4¶B32B 9/04¶(2006.01.01)
1020180014052¶5¶B32B 9/00¶(2006.01.01)
1020180014052¶6¶B32B 15/20¶(2006.01.01)
1020160103537¶1¶A61B 5/022¶(2006.01.01)
1020237014986¶1¶B25J 9/04¶(2006.01.01)
1020237014986¶2¶B25J 9/10¶(2006.01.01)
1020237014986¶3¶B25J 9/00¶(2006.01.01)
1020237014986¶4¶B25J 11/00¶(2006.01.01)
1020237014986¶5¶F16H 19/00¶(2021.01.01)
1020237014986¶6¶H01L 21/677¶(2006.01.01)
1020237014986¶7¶H01L 21/687¶(2006.01.01)
1020177037778¶1¶B25J 9/04¶(2006.01.01)
1020177037778¶2¶B25J 18/04¶(2006.01.01)
1020177037778¶3¶H01L 21/677¶(2006.01.01)
1020167000034¶1¶H01L 21/68¶(2006.01.01)
1020167000034¶2¶H01L 21/677¶(2006.01.01)
1020167000034¶3¶B25J 9/16¶(2006.01.01)
1020167000034¶4¶B25J 18/02¶(2006.01.01)
1020177025128¶1¶B25J 9/04¶(2006.01.01)
1020177025128¶2¶B25J 18/04¶(2006.01.01)
1020177025128¶3¶B25J 17/00¶(2006.01.01)
1020180098000¶1¶H04L 65/40¶(2022.01.01)
1020130151021¶1¶H04W 92/18¶(2009.01.01)
1020130151021¶2¶H04W 88/02¶(2009.01.01)
1020170126625¶1¶G06F 3/01¶(2006.01.01)
1020170126625¶2¶G06F 1/16¶(2006.01.01)
1020170126625¶3¶G06F 3/0346¶(2013.01.01)
1020170126625¶4¶H02J 7/00¶(2006.01.01)
1020147004289¶1¶G16H 10/60¶(2018.01.01)
1020150121789¶1¶G06F 18/00¶(2023.01.01)
1020150121789¶2¶G06F 3/0346¶(2013.01.01)
1020150121789¶3¶G01C 21/16¶(2006.01.01)
1020150121789¶4¶G08B 21/04¶(2006.01.01)
1020150121789¶5¶G08B 21/04¶(2006.01.01)
1020160063686¶1¶H01Q 1/22¶(2006.01.01)
1020160063686¶2¶H01Q 1/38¶(2015.01.01)
1020160063686¶3¶H01Q 7/00¶(2018.01.01)
1020160063686¶4¶H04B 5/00¶(2006.01.01)
1020210186342¶1¶G16H 20/10¶(2018.01.01)
1020210186342¶2¶G16H 50/70¶(2018.01.01)
1020210186342¶3¶G16H 70/40¶(2018.01.01)
1020210186342¶4¶G16H 30/20¶(2018.01.01)
1020210186342¶5¶G16H 40/67¶(2018.01.01)
1020210186342¶6¶A61B 5/00¶(2021.01.01)
1020210186342¶7¶G06N 20/00¶(2019.01.01)
1020210186342¶8¶G06N 3/08¶(2023.01.01)
1020210186342¶9¶G16H 40/63¶(2018.01.01)
1020210186342¶10¶G16H 50/20¶(2018.01.01)
1020210186342¶11¶G16H 80/00¶(2018.01.01)
1020140117294¶1¶G06F 3/01¶(2006.01.01)
1020167014066¶1¶H04N 19/124¶(2014.01.01)
1020167014066¶2¶H04N 19/122¶(2014.01.01)
1020167014066¶3¶H04N 19/13¶(2014.01.01)
1020167014066¶4¶H04N 19/105¶(2014.01.01)
1020167014066¶5¶H04N 19/117¶(2014.01.01)
1020167014066¶6¶H04N 19/119¶(2014.01.01)
1020167014066¶7¶H04N 19/136¶(2014.01.01)
1020167014066¶8¶H04N 19/184¶(2014.01.01)
1020167014066¶9¶H04N 19/186¶(2014.01.01)
1020167014066¶10¶H04N 19/53¶(2014.01.01)
1020167014066¶11¶H04N 19/573¶(2014.01.01)
