출원번호,일련번호,특허유형
1020120129478,1012150750000,B1
1020120129478,2004438500000,Y1
1020100047738,1020050022841,A
1020140026943,1020110116704,A
1020160126914,1008572260000,B1
1020160126914,1020130005938,A
1020100105470,2001796390000,Y1
1020100105470,2019920000504,Y1
1020100105470,1009489080000,B1
1020190013077,1020180079205,A
1020140062866,2019750000176,Y1
1020140062866,2003202850000,Y1
1020140062866,2019900014727,U
1020140062866,2019860003016,U
1020070055669,2003050120000,Y1
1020070055669,2019990008232,U
1020070055669,1020000050726,A
1020070055669,2003513710000,Y1
1020070055669,2002671670000,Y1
1020070055669,,1999-007892 U
1020070055669,1005691550000,B1
1020070055669,2002389550000,Y1
1020140026946,2019900009739,Y1
1020140026946,2004307010000,Y1
1020110089025,1019940018603,A
1020110006147,2004414490000,Y1
1020110006147,2003365470000,Y1
1020090026395,2020090007901U,
1020050133462,100392593B,1
1020050133462,2020000008504,U
1020090036261,1007732600000,B1
1020090036261,2004050400000,Y1
1020120118994,2020110010141,U
1020090009596,1020090006918,A
1020060110871,2003253920000,Y1
1020060110871,2003858650000,Y1
1020130039160,1006950600000,B1
1020130039160,2004392360000,Y1
1020090079723,1007117340000,B1
1020090079723,2003358480000,Y1
1020090079723,1019960007905,B1
1020090079723,2002391430000,Y1
1020070034938,,10-0415227 B1
1020070034938,,10-0663069 B1
1020070034938,,10-2006-0008168 A
1020070034938,,20-0277360 Y1
1020070034938,,20-0362824 Y1
1020070034938,,10-0736707 B1
1020070034938,,10-2000-0065992 A
1020070034938,,20-1999-0036214 U
1020080080073,1020100001083,A
1020080080073,1002858130000,B1
1020080080073,1002937460000,B1
1020100069177,2002594610000,Y1
1020100069177,2002596880000,Y1
1020100069177,2003280960000,Y1
1020100069177,1020020088115,A
1020120006536,2019880002890,U
1020120006536,1020020036347,A
1020120006536,2004374500000,Y1
1020100062158,1001594810000,B1
1020100062158,1007633620000,B1
1020100062158,2001289730000,Y1
1020100062158,2019980012446,U
1020090026355,1003929440000,B1
1020090062442,1020070036272,A
1020090062442,2019870001872,Y1
1020100016923,1008901160000,B1
1020100016923,1020080050651,A
1020100016923,1020090093341,A
1020140001412,2002596800000,Y1
1020140001412,1020100038804,A
1020180136559,1010836330000,B1
1020180136559,1012560310000,B1
1020180136559,1020150088408,A
1020090042105,1020010048269,A
1020190019332,1020060026126,A
1020190019332,2020100010799,U
