출원번호¶특허분류일련번호¶cpc코드¶cpc개정일자
1020197032916¶3¶A61B 90/39¶(2013.01)
1020197032916¶4¶A61B 90/11¶(2013.01)
1020197032916¶5¶A61B 90/98¶(2013.01)
1020197032916¶6¶A61M 25/0127¶(2013.01)
1020197032916¶7¶A61B 2034/301¶(2013.01)
1020197032916¶8¶A61B 2034/303¶(2013.01)
1020197032916¶9¶A61B 2034/302¶(2013.01)
1020197032916¶10¶A61B 2034/2051¶(2013.01)
1020197032916¶11¶A61B 2034/2055¶(2013.01)
1020197032916¶12¶A61B 2034/2063¶(2013.01)
1020197032916¶13¶A61B 2034/2065¶(2013.01)
1020197032916¶14¶A61B 2090/3937¶(2013.01)
1020197032916¶15¶A61B 2017/00477¶(2013.01)
1020197032916¶16¶A61B 2017/00809¶(2013.01)
1020197032916¶17¶A61B 2017/00876¶(2013.01)
1020197032916¶18¶A61B 2090/571¶(2013.01)
1020217003579¶1¶B25J 9/042¶(2013.01)
1020217003579¶2¶B25J 18/04¶(2013.01)
1020217003579¶3¶H01L 21/67742¶(2013.01)
1020217003579¶4¶H01L 21/67766¶(2013.01)
1020170008303¶1¶A61B 5/4809¶(2013.01)
1020170008303¶2¶A61B 5/1118¶(2013.01)
1020180141287¶1¶H05B 45/20¶(2013.01)
1020180141287¶2¶A61B 5/024¶(2013.01)
1020180141287¶3¶A61B 5/4884¶(2013.01)
1020180141287¶4¶A61M 21/02¶(2013.01)
1020180141287¶5¶A61N 5/0618¶(2013.01)
1020180141287¶6¶G16H 10/60¶(2013.01)
1020180141287¶7¶G16H 50/30¶(2013.01)
1020180141287¶8¶A61M 2021/0044¶(2013.01)
1020180141287¶9¶A61N 2005/0663¶(2013.01)
1020180141287¶10¶A61N 2005/0651¶(2013.01)
1020097025981¶1¶H01Q 13/10¶(2013.01)
1020097025981¶2¶H01Q 13/08¶(2013.01)
1020097025981¶3¶H01Q 9/04¶(2013.01)
1020097025981¶4¶H01Q 1/24¶(2013.01)
1020217034179¶1¶H01L 29/786¶(2013.01)
1020217034179¶2¶H01L 21/0228¶(2013.01)
1020217034179¶3¶H01L 21/02274¶(2013.01)
1020217034179¶4¶H01L 2924/0104¶(2013.01)
1020130133023¶1¶H04B 10/114¶(2013.01)
1020167027066¶1¶A61F 13/061¶(2013.01)
1020167027066¶2¶A61F 13/062¶(2013.01)
1020167027066¶3¶A61F 5/0106¶(2013.01)
